Num_species,Replicate_number,Num_total_DAR,Num_cDAR,Num_uDAR
100,53,289,108,181
100,54,289,103,186
100,55,289,99,190
100,56,289,105,184
100,57,289,102,187
100,58,289,107,182
100,59,289,113,176
100,60,289,114,175
100,61,289,104,185
100,62,289,102,187
100,63,289,103,186
100,64,289,100,189
100,65,289,105,184
100,66,289,100,189
100,67,289,107,182
100,68,289,104,185
100,69,289,108,181
100,70,289,105,184
100,71,289,100,189
100,72,289,105,184
100,73,289,105,184
100,74,289,104,185
100,75,289,107,182
100,76,289,100,189
100,77,289,97,192
100,78,289,106,183
100,79,289,100,189
100,80,289,105,184
100,81,289,102,187
100,82,289,105,184
100,83,289,104,185
100,84,289,106,183
100,85,289,104,185
100,86,289,98,191
100,87,289,106,183
100,88,289,97,192
100,89,289,104,185
100,90,289,104,185
100,91,289,100,189
100,92,289,108,181
100,93,289,105,184
100,94,289,106,183
100,95,289,106,183
100,96,289,99,190
100,97,289,108,181
100,98,289,111,178
100,99,289,102,187
150,0,289,105,184
150,1,289,112,177
150,2,289,112,177
150,3,289,103,186
150,4,289,118,171
150,5,289,104,185
150,6,289,112,177
150,7,289,110,179
150,8,289,113,176
150,9,289,110,179
150,10,289,111,178
150,11,289,111,178
150,12,289,107,182
150,13,289,109,180
150,14,289,113,176
150,15,289,112,177
150,16,289,117,172
150,17,289,107,182
150,18,289,118,171
150,19,289,116,173
150,20,289,119,170
150,21,289,110,179
150,22,289,105,184
150,23,289,112,177
150,24,289,114,175
150,25,289,113,176
150,26,289,103,186
150,27,289,106,183
150,28,289,119,170
150,29,289,113,176
150,30,289,112,177
150,31,289,114,175
150,32,289,111,178
150,33,289,104,185
150,34,289,112,177
150,35,289,110,179
150,36,289,109,180
150,37,289,112,177
150,38,289,118,171
150,39,289,112,177
150,40,289,105,184
150,41,289,110,179
150,42,289,110,179
150,43,289,114,175
150,44,289,116,173
150,45,289,115,174
150,46,289,109,180
150,47,289,112,177
150,48,289,110,179
150,49,289,104,185
150,50,289,105,184
150,51,289,112,177
150,52,289,115,174
150,53,289,109,180
150,54,289,111,178
150,55,289,108,181
150,56,289,108,181
150,57,289,111,178
150,58,289,108,181
150,59,289,111,178
150,60,289,113,176
150,61,289,112,177
150,62,289,111,178
150,63,289,117,172
150,64,289,108,181
150,65,289,114,175
150,66,289,116,173
150,67,289,113,176
150,68,289,110,179
150,69,289,111,178
150,70,289,109,180
150,71,289,110,179
150,72,289,115,174
150,73,289,115,174
150,74,289,115,174
150,75,289,114,175
150,76,289,110,179
150,77,289,114,175
150,78,289,112,177
150,79,289,114,175
